RingNR;Year;CaptureWeight;CaptureDate;CaptureArea;Age;Season;MovementDistance;MigrStatus
4105410;2016;550;09.03.2016;Lifjellet;juv;WS;19983.94859;1
4105415;2016;590;10.03.2016;Guslia;juv;WS;1025.040428;0
4105416;2016;600;10.03.2016;Guslia;ad;WS;0;0
4105417;2016;590;11.03.2016;Guslia;ad;WS;48.12691555;0
4105421;2017;580;09.03.2017;Guslia;ad;WS;1877.753381;1
4105421;2018;580;09.03.2017;Guslia;ad;SW;2312.797129;1
4105421;2018;580;09.03.2017;Guslia;ad;WS;919.633079;0
4105428;2016;560;11.03.2016;Guslia;juv;WS;4486.007156;1
4105429;2016;530;11.03.2016;Lifjellet;juv;WS;4476.478775;1
4105429;2017;530;11.03.2016;Lifjellet;ad;SW;7578.327843;1
4105429;2017;530;11.03.2016;Lifjellet;ad;WS;7930.937521;1
4105429;2018;530;11.03.2016;Lifjellet;ad;SW;9204.069916;1
4105429;2018;530;11.03.2016;Lifjellet;ad;WS;9033.442381;1
4105431;2016;540;10.03.2016;Guslia;ad;WS;64.51821448;0
4105431;2017;540;10.03.2016;Guslia;ad;SW;1786.73988;1
4105432;2016;580;11.03.2016;Guslia;ad;WS;93.41187172;0
4105433;2016;590;11.03.2016;Guslia;juv;WS;29957.16746;1
4105438;2015;600;25.03.2015;Guslia;ad;WS;10843.41293;1
4105439;2015;570;25.03.2015;Guslia;juv;WS;4022.488067;1
4105441;2015;590;25.03.2015;Guslia;juv;WS;10324.08371;1
4105441;2016;590;25.03.2015;Guslia;ad;SW;7938.587707;1
4105441;2016;590;25.03.2015;Guslia;ad;WS;24620.22771;1
4105441;2017;590;25.03.2015;Guslia;ad;SW;24895.08398;1
4105441;2017;590;25.03.2015;Guslia;ad;WS;26358.04185;1
4105442;2015;560;25.03.2015;Guslia;ad;WS;1644.087057;1
4105443;2015;550;25.03.2015;Guslia;juv;WS;1620.760453;1
4105443;2016;550;25.03.2015;Guslia;ad;SW;2228.172969;1
4105443;2016;550;25.03.2015;Guslia;ad;WS;1540.073167;1
