"NestName","NestUUID","RingNR","organismID","Year","N_egg","Nest_Status","BOL","Weigth","Area","Age","Nest_state"
"4175761_2015","ff6a3f20-e5e2-11e9-adb9-870b0fcd359e",4175761,"94ca1f1d-e507-11e9-8b1c-61bf5086d96e",2015,10,"hatched",0,645,"Lifjellet","ad",1
"4175753_2015","ff6a3f21-e5e2-11e9-adb9-870b0fcd359e",4175753,"94ca457c-e507-11e9-8b1c-61bf5086d96e",2015,5,"abondoned",0,660,"Lifjellet","ad",0
"4175782_2015","ff6a6612-e5e2-11e9-adb9-870b0fcd359e",4175782,"94cae162-e507-11e9-8b1c-61bf5086d96e",2015,6,"hatched",0,630,"Lifjellet","juv",1
"4175788_2015","ff6a6613-e5e2-11e9-adb9-870b0fcd359e",4175788,"94cb5632-e507-11e9-8b1c-61bf5086d96e",2015,9,"predation",0,540,"Guslia","ad",0
"4175785_2015","ff6a6614-e5e2-11e9-adb9-870b0fcd359e",4175785,"94cb7d26-e507-11e9-8b1c-61bf5086d96e",2015,9,"abondoned",1,630,"Lifjellet","ad",0
"4175758_2015","ff6a6615-e5e2-11e9-adb9-870b0fcd359e",4175758,"94cba41e-e507-11e9-8b1c-61bf5086d96e",2015,9,"predation",1,670,"Guslia","ad",0
"4175769_2015","ff6a6616-e5e2-11e9-adb9-870b0fcd359e",4175769,"94cbcb16-e507-11e9-8b1c-61bf5086d96e",2015,11,"hatched",0,670,"Guslia","ad",1
"4105441_2015","ff6a6617-e5e2-11e9-adb9-870b0fcd359e",4105441,"94cc66f6-e507-11e9-8b1c-61bf5086d96e",2015,NA,"hatched",1,590,"Guslia","juv",1
"4105443_2015","ff6a6618-e5e2-11e9-adb9-870b0fcd359e",4105443,"94cc66fa-e507-11e9-8b1c-61bf5086d96e",2015,9,"hatched",1,550,"Guslia","juv",1
"4175780_2015","ff6a6619-e5e2-11e9-adb9-870b0fcd359e",4175780,"94cc8e0d-e507-11e9-8b1c-61bf5086d96e",2015,6,"abondoned",1,560,"Guslia","juv",0
"4105416_2016","ff6a8d06-e5e2-11e9-adb9-870b0fcd359e",4105416,"94c95bf4-e507-11e9-8b1c-61bf5086d96e",2016,NA,"abondoned",0,600,"Guslia","ad",0
"4105432_2016","ff6a8d07-e5e2-11e9-adb9-870b0fcd359e",4105432,"94c9a9d6-e507-11e9-8b1c-61bf5086d96e",2016,12,"predation",0,580,"Guslia","ad",0
"4105410_2016","ff6a8d08-e5e2-11e9-adb9-870b0fcd359e",4105410,"94c9d0db-e507-11e9-8b1c-61bf5086d96e",2016,11,"abondoned",1,550,"Lifjellet","juv",0
"4281309_2016","ff6a8d09-e5e2-11e9-adb9-870b0fcd359e",4281309,"94ca1f1e-e507-11e9-8b1c-61bf5086d96e",2016,8,"predation",1,600,"Lifjellet","juv",0
"4105415_2016","ff6a8d0a-e5e2-11e9-adb9-870b0fcd359e",4105415,"94ca6e32-e507-11e9-8b1c-61bf5086d96e",2016,12,"hatched",0,590,"Guslia","juv",1
"4175790_2016","ff6a8d0c-e5e2-11e9-adb9-870b0fcd359e",4175790,"94cb0860-e507-11e9-8b1c-61bf5086d96e",2016,NA,"predation",1,580,"Guslia","ad",0
"4105428_2016","ff6a8d0d-e5e2-11e9-adb9-870b0fcd359e",4105428,"94cb2f44-e507-11e9-8b1c-61bf5086d96e",2016,9,"hatched",1,560,"Guslia","juv",1
