NestName;RingNR;Year;CaptureWeight;CaptureArea;Age;MigrStatus;N_egg;Nest_Status;Nest_state;alt_dem10
4175761_2015;4175761;2015;645;Lifjellet;ad;0;10;hatched;1;587.948
4175753_2015;4175753;2015;660;Lifjellet;ad;0;5;abondoned;0;565.50391
4175782_2015;4175782;2015;630;Lifjellet;juv;0;6;hatched;1;520.80298
4175788_2015;4175788;2015;540;Guslia;ad;0;9;predation;0;548.28729
4175785_2015;4175785;2015;630;Lifjellet;ad;1;9;abondoned;0;549.09119
4175758_2015;4175758;2015;670;Guslia;ad;1;9;predation;0;595.2843
4175769_2015;4175769;2015;670;Guslia;ad;0;11;hatched;1;581.87292
4105441_2015;4105441;2015;590;Guslia;juv;1;NA;hatched;1;513.75562
4105443_2015;4105443;2015;550;Guslia;juv;1;9;hatched;1;708.46954
4175780_2015;4175780;2015;560;Guslia;juv;1;6;abondoned;0;646.34216
4105416_2016;4105416;2016;600;Guslia;ad;0;NA;abondoned;0;717.79608
4105432_2016;4105432;2016;580;Guslia;ad;0;12;predation;0;558.24213
4105410_2016;4105410;2016;550;Lifjellet;juv;1;11;abondoned;0;668.55188
4281309_2016;4281309;2016;600;Lifjellet;juv;1;8;predation;0;655.32361
4105415_2016;4105415;2016;590;Guslia;juv;0;12;hatched;1;598.18335
4175790_2016;4175790;2016;580;Guslia;ad;1;NA;predation;0;377.00549
4105428_2016;4105428;2016;560;Guslia;juv;1;9;hatched;1;600.05096
4281308_2016;4281308;2016;530;Lifjellet;ad;1;NA;hatched;1;341.31348
4105429_2016;4105429;2016;530;Lifjellet;juv;1;8;predation;0;705.38525
4105431_2016;4105431;2016;540;Guslia;ad;0;10;hatched;1;777.54999
4105433_2016;4105433;2016;590;Guslia;juv;1;9;abondoned;0;481.10242
4175773_2016;4175773;2016;530;Guslia;juv;1;7;predation;0;700.92389
4105443_2016;4105443;2016;550;Guslia;ad;1;10;hatched;1;731.00391
4105417_2016;4105417;2016;590;Guslia;ad;0;10;hatched;1;568.70001
4281348_2017;4281348;2017;530;Lifjellet;ad;0;11;abondoned;0;541.68433
4281341_2017;4281341;2017;610;Lifjellet;juv;0;9;predation;0;540.64801
4281318_2017;4281318;2017;640;Lifjellet;ad;0;12;predation;0;483.45816
4105421_2017;4105421;2017;580;Guslia;ad;1;8;hatched;1;560.17059
4281327_2017;4281327;2017;555;Guslia;ad;0;10;hatched;1;690.11072
4105429_2017;4105429;2017;530;Lifjellet;ad;1;9;predation;0;698.56976
4281330_2017;4281330;2017;570;Guslia;juv;0;10;predation;0;578.09216
4281327_2018;4281327;2018;555;Guslia;ad;0;6;hatched;1;692.08331
4281461_2018;4281461;2018;610;Lifjellet;ad;1;10;hatched;1;620.51868
4281491_2018;4281491;2018;660;Lifjellet;ad;1;10;hatched;1;677.11078
4105429_2018;4105429;2018;530;Lifjellet;ad;1;8;predation;0;664.77649
4281457_2018;4281457;2018;620;Lifjellet;ad;1;11;abondoned;0;668.07941
4281479_2018;4281479;2018;550;Lifjellet;ad;1;12;hatched;1;773.07642
4281466_2018;4281466;2018;670;Lifjellet;juv;0;12;hatched;1;518.19128
4281335_2018;4281335;2018;590;Guslia;ad;1;11;hatched;1;647.45782
4281325_2018;4281325;2018;585;Guslia;ad;1;12;predation;0;660.42456
4281467_2018;4281467;2018;670;Lifjellet;ad;1;10;hatched;1;426.67578
4281483_2018;4281483;2018;600;Lifjellet;ad;1;NA;hatched;1;437.70029
4281345_2018;4281345;2018;600;Lifjellet;ad;1;9;abondoned_after_SetUp;0;602.74585
4281481_2018;4281481;2018;530;Lifjellet;ad;1;7;hatched;1;612.21466
4281400_2019;4281400;2019;580;Lifjellet;juv;1;10;hatched;1;463.20895
4281437_2019;4281437;2019;600;Guslia;juv;0;7;hatched;1;781.0882
4281380_2019;4281380;2019;670;Guslia;ad;1;10;partial_predation;0;525.78723
4281385_2019;4281385;2019;600;Guslia;juv;1;12;abondoned;0;502.86572
4281493_2019;4281493;2019;580;Lifjellet;ad;1;13;hatched;1;612.02118
4281325_2019;4281325;2019;585;Guslia;ad;1;14;predation;0;663.71368
4281461_2019;4281461;2019;610;Lifjellet;ad;0;10;hatched;1;637.42493
4281411_2019;4281411;2019;580;Lifjellet;juv;1;11;hatched;1;525.89648
4281399_2019;4281399;2019;520;Lifjellet;juv;1;8;predation;0;581.9845
4281414_2019;4281414;2019;590;Lifjellet;ad;1;9;predation;0;549.01172
4281497_2019;4281497;2019;580;Lifjellet;juv;1;10;abondoned;0;666.31293
4281398_2019;4281398;2019;640;Lifjellet;juv;0;10;predation;0;517.44806
4281492_2019;4281492;2019;580;Lifjellet;juv;1;9;hatched;1;669.56763
4281381_2019;4281381;2019;610;Guslia;juv;1;11;hatched;1;688.01666
4281429_2019;4281429;2019;560;Guslia;ad;1;12;hatched;1;575.19501
4281416_2019;4281416;2019;530;Guslia;juv;1;9;hatched;1;609.89203
4281417_2019;4281417;2019;600;Guslia;ad;1;9;hatched;1;365.8819
4281433_2019;4281433;2019;610;Guslia;ad;0;7;partial_predation;0;604.42944
