RingNR,Season2,dist,BOL,Year,Weigth,Date,Area,Age,dist2,Id,vekt
4105410,WS,19983.94859,1,2016,550,09.03.2016,Lifjellet,juv,19.98394859,4105410,5.5
4105415,WS,1025.040428,0,2016,590,10.03.2016,Guslia,juv,1.025040428,4105415,5.9
4105416,WS,0,0,2016,600,10.03.2016,Guslia,ad,0,4105416,6
4105417,WS,48.12691555,0,2016,590,11.03.2016,Guslia,ad,0.048126916,4105417,5.9
4105421,WS,1877.753381,1,2017,580,09.03.2017,Guslia,ad,1.877753381,4105421,5.8
4105421,SW,2312.797129,1,2018,580,09.03.2017,Guslia,ad,2.312797129,4105421,5.8
4105421,WS,919.633079,0,2018,580,09.03.2017,Guslia,ad,0.919633079,4105421,5.8
4105428,WS,4486.007156,1,2016,560,11.03.2016,Guslia,juv,4.486007156,4105428,5.6
4105429,WS,4476.478775,1,2016,530,11.03.2016,Lifjellet,juv,4.476478775,4105429,5.3
4105429,SW,7578.327843,1,2017,530,11.03.2016,Lifjellet,ad,7.578327843,4105429,5.3
4105429,WS,7930.937521,1,2017,530,11.03.2016,Lifjellet,ad,7.930937521,4105429,5.3
4105429,SW,9204.069916,1,2018,530,11.03.2016,Lifjellet,ad,9.204069916,4105429,5.3
4105429,WS,9033.442381,1,2018,530,11.03.2016,Lifjellet,ad,9.033442381,4105429,5.3
4105431,WS,64.51821448,0,2016,540,10.03.2016,Guslia,ad,0.064518214,4105431,5.4
4105431,SW,1786.73988,1,2017,540,10.03.2016,Guslia,ad,1.78673988,4105431,5.4
4105432,WS,93.41187172,0,2016,580,11.03.2016,Guslia,ad,0.093411872,4105432,5.8
4105433,WS,29957.16746,1,2016,590,11.03.2016,Guslia,juv,29.95716746,4105433,5.9
4105438,WS,10843.41293,1,2015,600,25.03.2015,Guslia,ad,10.84341293,4105438,6
4105439,WS,4022.488067,1,2015,570,25.03.2015,Guslia,juv,4.022488067,4105439,5.7
4105441,WS,10324.08371,1,2015,590,25.03.2015,Guslia,juv,10.32408371,4105441,5.9
4105441,SW,7938.587707,1,2016,590,25.03.2015,Guslia,ad,7.938587707,4105441,5.9
4105441,WS,24620.22771,1,2016,590,25.03.2015,Guslia,ad,24.62022771,4105441,5.9
4105441,SW,24895.08398,1,2017,590,25.03.2015,Guslia,ad,24.89508398,4105441,5.9
4105441,WS,26358.04185,1,2017,590,25.03.2015,Guslia,ad,26.35804185,4105441,5.9
4105442,WS,1644.087057,1,2015,560,25.03.2015,Guslia,ad,1.644087057,4105442,5.6
4105443,WS,1620.760453,1,2015,550,25.03.2015,Guslia,juv,1.620760453,4105443,5.5
4105443,SW,2228.172969,1,2016,550,25.03.2015,Guslia,ad,2.228172969,4105443,5.5
4105443,WS,1540.073167,1,2016,550,25.03.2015,Guslia,ad,1.540073167,4105443,5.5
4175753,WS,865.636824,0,2015,660,19.02.2015,Lifjellet,ad,0.865636824,4175753,6.6
4175757,WS,0,0,2015,650,17.02.2015,Guslia,juv,0,4175757,6.5
4175758,WS,1707.146625,1,2015,670,16.02.2015,Guslia,ad,1.707146625,4175758,6.7
4175758,SW,1794.553148,1,2016,670,16.02.2015,Guslia,ad,1.794553148,4175758,6.7
4175758,WS,1442.560657,1,2016,670,16.02.2015,Guslia,ad,1.442560657,4175758,6.7
4175758,SW,3101.723432,1,2017,670,16.02.2015,Guslia,ad,3.101723432,4175758,6.7
4175758,WS,1428.163156,1,2017,670,16.02.2015,Guslia,ad,1.428163156,4175758,6.7
4175761,WS,1138.532779,0,2015,645,20.02.2015,Lifjellet,ad,1.138532779,4175761,6.45
4175763,WS,25378.31041,1,2016,600,08.03.2016,Lifjellet,juv,25.37831041,4175763,6
4175765,WS,22916.62946,1,2016,600,09.03.2016,Lifjellet,ad,22.91662946,4175765,6
4175769,WS,891.0224464,0,2015,670,16.02.2015,Guslia,ad,0.891022446,4175769,6.7
4175773,WS,5696.232643,1,2016,530,09.03.2016,Guslia,juv,5.696232643,4175773,5.3
4175780,WS,3177.161626,1,2015,560,18.02.2015,Guslia,juv,3.177161626,4175780,5.6
4175782,WS,424.6054378,0,2015,630,18.02.2015,Lifjellet,juv,0.424605438,4175782,6.3
4175782,SW,5092.296546,1,2016,630,18.02.2015,Lifjellet,ad,5.092296546,4175782,6.3
4175785,WS,2096.938464,1,2015,630,18.02.2015,Lifjellet,ad,2.096938464,4175785,6.3
4175788,WS,892.6428771,0,2015,540,25.03.2015,Guslia,ad,0.892642877,4175788,5.4
4175790,WS,35527.91388,1,2016,580,10.03.2016,Guslia,ad,35.52791388,4175790,5.8
4175790,SW,35631.49614,1,2017,580,10.03.2016,Guslia,ad,35.63149614,4175790,5.8
4281304,WS,16852.77203,1,2016,610,11.03.2016,Lifjellet,ad,16.85277203,4281304,6.1
4281304,SW,21266.19037,1,2017,610,11.03.2016,Lifjellet,ad,21.26619037,4281304,6.1
4281304,WS,22418.81554,1,2017,610,11.03.2016,Lifjellet,ad,22.41881554,4281304,6.1
4281308,WS,23728.25807,1,2016,530,15.03.2016,Lifjellet,ad,23.72825807,4281308,5.3
4281309,WS,10278.44303,1,2016,600,15.03.2016,Lifjellet,juv,10.27844303,4281309,6
4281312,WS,24266.3761,1,2017,660,16.03.2017,Guslia,ad,24.2663761,4281312,6.6
4281314,WS,28693.11952,1,2017,600,16.03.2017,Guslia,ad,28.69311952,4281314,6
4281314,SW,28041.37309,1,2018,600,16.03.2017,Guslia,ad,28.04137309,4281314,6
4281316,WS,13463.99116,1,2017,640,17.03.2017,Lifjellet,juv,13.46399116,4281316,6.4
4281318,WS,498.6912873,0,2017,640,17.03.2017,Lifjellet,ad,0.498691287,4281318,6.4
4281325,WS,8503.518843,1,2018,585,02.03.2018,Guslia,ad,8.503518843,4281325,5.85
4281325,SW,8699.08466,1,2019,585,02.03.2018,Guslia,ad,8.69908466,4281325,5.85
